osebuildingid,datayear,buildingname,buildingtype,taxparcelidentificationnumber,address,city,state,zipcode,latitude,longitude,neighborhood,councildistrictcode,yearbuilt,numberoffloors,numberofbuildings,propertygfatotal,propertygfabuildings,propertygfaparking,selfreportgfatotal,selfreportgfabuildings,selfreportparking,energystarscore,siteeuiwn_kbtu_sf,siteeui_kbtu_sf,siteenergyuse_kbtu,siteenergyusewn_kbtu,sourceeuiwn_kbtu_sf,sourceeui_kbtu_sf,epapropertytype,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,thirdlargestpropertyusetype,electricity_kwh,steamuse_kbtu,naturalgas_therms,compliancestatus,complianceissue,electricity_kbtu,naturalgas_kbtu,totalghgemissions,ghgemissionsintensity,demolished,secondlargestpropertyuse,thirdlargestpropertyusetypegfa
338,2023,SEATTLE CHILDREN'S HOSPITAL  (JACK R MCDONALD BUILDING),NonResidential,660001215,1900 9TH AVE,SEATTLE,WA,98101,47.61598,-122.33448,DOWNTOWN,7,2004,11,1,299070,230638,68432,286864,237794,49070,,245.8000031,245.6999969,58435360,58455428,461.7999878,461.7000122,Other,Other,237794,Parking,NA,8113105,,307534,Compliant,No Issue,27681914,30753450,1790.5,7.76,False,49070,
339,2023,BRODERICK BUILDING,NonResidential,939000130,615 2ND AVE,SEATTLE,WA,98104,47.60266,-122.33332,DOWNTOWN,1,1900,7,1,89550,89550,0,87236,87236,0,83,28.79999924,29.20000076,2547976,2511850,74.40000153,75.5,Office,Office,87236,NA,NA,645620,345120,,Compliant,No Issue,2202855,,40.7,0.45,False,,
340,2023,PIONEER BUILDING,NonResidential,939000150,600 1ST AVE,SEATTLE,WA,98104,47.60219,-122.33347,DOWNTOWN,1,1900,6,1,89355,89355,0,89355,89355,0,87,45.20000076,45.20000076,4036330,4039378,123.8000031,123.6999969,Office,Office,89355,NA,NA,1141192,,1426,Compliant,No Issue,3893747,142580,30.1,0.34,False,,
341,2023,DEXTER HORTON BUILDING,NonResidential,939000260,710 2ND AVE,SEATTLE,WA,98104,47.6036,-122.33288,DOWNTOWN,7,1922,15,1,388934,388934,0,373690,373690,0,88,30.20000076,30.5,11382316,11283233,75,75.30000305,Office,Office,373690,NA,NA,2652557,2331793,,Compliant,No Issue,9050524,,241.4,0.62,False,,
342,2023,EXCHANGE BUILDING,NonResidential,939000335,821 2ND AVE,SEATTLE,WA,98104,47.60403,-122.33497,DOWNTOWN,7,1929,22,1,384302,384302,0,367709,367709,0,84,29,29.89999962,11006026,10662488,81.19999695,83.80000305,Office,Office,367709,NA,NA,3225682,,,Compliant,No Issue,11006027,,63.8,0.17,False,,
343,2023,NORTON BUILDING,NonResidential,939000355,801 2ND AVE,SEATTLE,WA,98104,47.6037,-122.33447,DOWNTOWN,7,1958,17,1,378525,293925,84600,353066,269755,83311,77,68.90000153,69.5,18738858,18592972,142.1000061,143.1000061,Office,Office,269755,Parking,Data Center,3169474,,79246,Compliant,No Issue,10814245,7924610,482.7,1.64,False,83311,0
345,2023,999 THIRD AVE,NonResidential,939000435,999 3RD AVE,SEATTLE,WA,98104,47.60505,-122.33427,DOWNTOWN,7,1983,47,1,1323055,1323055,0,1361537,1088855,272682,85,30.39999962,31.10000038,33849476,33148788,85.19999695,87,Office,Office,1088855,Parking,NA,9920678,,1,Compliant,No Issue,33849353,130,196.3,0.15,False,272682,
346,2023,1000 2ND AVENUE BUILDING,NonResidential,939000475,1000 2ND AVE,SEATTLE,WA,98104,47.60567,-122.33511,DOWNTOWN,7,1986,41,1,589921,460489,129432,629680,490125,139555,87,33,33.29999924,16314297,16177157,92.40000153,93.19999695,Office,Office,479650,Parking,Pre-school/Daycare,4781447,,,Compliant,No Issue,16314297,,94.6,0.21,False,139555,10475
348,2023,1101 SECOND AVE OFFICE BUILDING,NonResidential,942000025,1101 2ND AVE,SEATTLE,WA,98101,47.60581,-122.33664,DOWNTOWN,7,1968,8,1,147672,87315,60357,147672,87315,60357,85,46.79999924,46.79999924,4084170,4084170,131,131,Office,Office,87315,Parking,NA,1197002,,,Compliant,No Issue,4084171,,23.7,0.27,False,60357,
349,2023,2ND & SENECA BLDS,NonResidential,942000030,1191 2ND AVE,SEATTLE,WA,98101,47.60614,-122.33674,DOWNTOWN,7,1991,29,1,635303,438072,197231,645057,450622,194435,91,35.90000153,36.5,16467968,16180412,99.30000305,101,Office,Office,440895,Parking,Retail Store,4717798,370842,,Compliant,No Issue,16097127,,123.4,0.28,False,194435,9269
350,2023,SECOND AND SPRING BUILDING,NonResidential,942000045,1100 2ND AVE,SEATTLE,WA,98101,47.60642,-122.33581,DOWNTOWN,7,1958,6,1,172842,146922,25920,173353,147433,25920,,267.7999878,268.1000061,38988616,38940072,711.9000244,712.4000244,Office,Office,106073,Data Center,Parking,10492580,,31879,Compliant,No Issue,35800683,3187940,376.6,2.56,False,39336,25920
351,2023,1111 3RD AVE BUILDING,NonResidential,942000050,1111 3RD AVE,SEATTLE,WA,98101,47.60655,-122.33533,DOWNTOWN,7,1980,34,1,776762,614158,162604,760997,606050,154947,78,37.90000153,38.40000153,23260360,22988710,105.5,106.8000031,Office,Office,606050,Parking,NA,6745216,,2457,Compliant,No Issue,23014677,245680,146.5,0.24,False,154947,
352,2023,ABRAHAM LINCOLN BUILDING,NonResidential,942000140,1110 3RD AVE,SEATTLE,WA,98101,47.60671,-122.33456,DOWNTOWN,7,1972,14,1,186768,162993,23775,216451,182780,33671,80,53.70000076,54.09999847,9883594,9822959,126.3000031,127.1999969,Office,Office,182780,Parking,Data Center,2084968,2769682,,Compliant,No Issue,7113911,,265.6,1.63,False,33671,0
353,2023,SAFECO PLAZA / 1001 FOURTH AVENUE,NonResidential,942000300,1001 4TH AVE,SEATTLE,WA,98104,47.60615,-122.33388,DOWNTOWN,7,1969,49,1,1123435,754455,368980,1142435,907746,234689,77,46,46.79999924,42452064,41730640,118.3000031,120.4000015,Office,Office,907746,Parking,NA,10832200,,54926,Compliant,No Issue,36959466,5492600,505.5,0.67,False,234689,
354,2023,FOURTH & MADISON ( IDX TOWER),NonResidential,942000345,925 4TH AVE,SEATTLE,WA,98104,47.60549,-122.33319,DOWNTOWN,7,2002,37,1,1052469,888049,164420,1076174,890593,185581,83,32.5,32.5,28954636,28906814,91,91.09999847,Office,Office,785875,Parking,Financial Office,8486118,,,Compliant,No Issue,28954635,,167.9,0.19,False,185581,93595
355,2023,901 FIFTH AVENUE,NonResidential,942000365,901 5TH AVE,SEATTLE,WA,98104,47.60616,-122.33165,DOWNTOWN,7,1973,42,1,711611,540589,171022,789184,599584,189600,75,58,58.90000153,35318748,34790656,160.5,162.8999939,Office,Office,581558,Parking,Retail Store,10129320,757512,,Compliant,No Issue,34561240,,261.8,0.48,False,189600,18026
356,2023,CENTRAL BUILDING,NonResidential,942000550,810 3RD AVE,SEATTLE,WA,98104,47.60471,-122.33261,DOWNTOWN,7,1907,8,1,201480,201480,0,201480,201480,0,85,31.20000076,31.79999924,6416804,6285455,87.30000305,89.19999695,Office,Office,201480,NA,NA,1880658,,,Compliant,No Issue,6416805,,37.2,0.18,False,,
357,2023,SEATTLE MUNICIPAL TOWER,Nonresidential COS,942000720,700 5TH AVE,SEATTLE,WA,98104,47.60501,-122.32988,DOWNTOWN,7,1990,63,1,1354987,1195387,159600,1498827,1222878,275949,83,34.29999924,35.09999847,42908052,41922544,96,98.19999695,Office,Office,1222878,Parking,NA,12571430,,143,Compliant,No Issue,42893719,14340,249.5,0.21,False,275949,
358,2023,SEATTLE JUSTICE CENTER,Nonresidential COS,942000750,610 5TH AVE,SEATTLE,WA,98104,47.60421,-122.32919,DOWNTOWN,7,2001,14,1,310490,310490,0,517344,303998,213346,51,64.09999847,64.40000153,19564984,19478206,151.6000061,152.3999939,Police Station,Police Station,200914,Courthouse,NA,4319085,,48283,Compliant,No Issue,14736718,4828270,341.4,1.1,False,103084,
359,2023,CITY HALL,Nonresidential COS,942000810,600 4TH AVE,SEATTLE,WA,98104,47.60377,-122.32971,DOWNTOWN,7,2003,8,1,199530,168870,30660,201816,184042,17774,47,80.5,81.69999695,15042740,14816958,164.8999939,167.3999939,Office,Office,184042,Parking,NA,2513324,,64673,Compliant,No Issue,8575461,6467280,392.5,2.32,False,17774,
360,2023,CHINOOK BLDG - KING COUNTY,NonResidential,942001105,401 5TH AVE,SEATTLE,WA,98104,47.60249,-122.32854,DOWNTOWN,1,2006,13,1,372242,319539,52703,339376,284223,55153,89,48.59999847,48.70000076,13852162,13810322,99.90000153,100.4000015,Office,Office,276506,Parking,Pre-school/Daycare,2345112,,58506,Compliant,No Issue,8001522,5850640,356.5,1.12,False,55153,5638
361,2023,YESLER BUILDING - KING COUNTY,NonResidential,942001150,400 YESLER WAY,SEATTLE,WA,98104,47.60193,-122.32812,DOWNTOWN,1,1909,7,1,114395,106099,8296,114395,106099,8296,73,59.90000153,59.90000153,6350654,6358994,124,124,Office,Office,106099,Parking,NA,1085874,,26456,Compliant,No Issue,3705002,2645650,161.7,1.52,False,8296,
363,2023,UNIVERSITY BOOK STORE,NonResidential,1142000075,4326 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.66024,-122.31278,NORTHEAST,4,1978,2,1,89200,89200,0,89200,89200,0,43,56.59999847,57.09999847,5089170,5051422,146.1999969,146.8999939,Retail Store,Retail Store,89200,NA,NA,1299071,,6567,Compliant,No Issue,4432430,656740,60.5,0.68,False,,
364,2023,UW TOWER BLDG COMPLEX,Nonresidential WA,1142000280,4333 BROOKLYN AVE NE,SEATTLE,WA,98105,47.66072,-122.31466,NORTHEAST,4,1971,23,4,474546,474546,0,474546,474546,0,64,63.20000076,63.79999924,30297332,29986372,176.8999939,178.8000031,Office,Office,474546,NA,NA,8879640,,,Compliant,No Issue,30297332,,175.7,0.37,False,,
365,2023,UW TOWER DATA CENTER,NonResidential,1142000290,4310 12TH AVE NE,SEATTLE,WA,98105,47.6606,-122.31512,NORTHEAST,4,1969,5,1,36000,36000,0,36000,36000,0,97,989.2000122,989.2000122,35609904,35609904,2769.699951,2769.699951,Data Center,Data Center,36000,NA,NA,10436670,,,Compliant,No Issue,35609918,,206.5,5.74,False,,
366,2023,UNIVERSITY DISTRICT BUILDING,NonResidential,1142000500,1107 NE 45TH ST,SEATTLE,WA,98105,47.661,-122.31626,NORTHEAST,4,1961,5,1,99005,81071,17934,99005,81071,17934,63,67.30000305,67.69999695,5487350,5454916,120.5999985,121,Office,Office,81071,Parking,NA,678366,,31728,Compliant,No Issue,2314584,3172770,181.6,2.24,False,17934,
367,2023,4311 ROOSEVELT,NonResidential,1142000530,4311 11TH AVE NE,SEATTLE,WA,98105,47.66065,-122.31689,NORTHEAST,4,2002,6,1,135051,90803,44248,138443,95943,42500,82,35.5,36.29999924,3484540,3410266,99.5,101.6999969,Office,Office,95943,Parking,NA,1021260,,,Compliant,No Issue,3484539,,20.2,0.22,False,42500,
368,2023,4300 ROOSEVELT,NonResidential,1142000550,4300 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65999,-122.31741,NORTHEAST,4,2002,5,1,220649,137929,82720,235754,145754,90000,92,29.5,29.5,4295518,4295518,82.5,82.5,Office,Office,145754,Parking,NA,1258944,,,Compliant,No Issue,4295517,,24.9,0.18,False,90000,
369,2023,SEATTLE VAULT SELF STORAGE,NonResidential,660001580,1800 TERRY AVE,SEATTLE,WA,98101,47.61591,-122.33238,DOWNTOWN,7,1964,5,1,93660,93660,0,100660,93660,7000,,6.199999809,6.400000095,597107,578293,17.29999924,17.89999962,Self-Storage Facility,Self-Storage Facility,93660,Parking,NA,175002,,,Compliant,No Issue,597108,,3.5,0.04,False,0,
370,2023,METROPOLITAN PARK I  (WEST) OFFICE BLDG,NonResidential,660002054,1100 OLIVE WAY,SEATTLE,WA,98101,47.61597,-122.33086,DOWNTOWN,7,1980,18,1,413715,349055,64660,433666,375582,58084,87,34,34,12766382,12778001,94.19999695,94.09999847,Office,Office,375582,Parking,NA,3672369,,2363,Compliant,No Issue,12530123,236260,85.2,0.24,False,58084,
371,2023,METROPOLITAN PARK NORTH BUILDING,NonResidential,660002381,1220 HOWELL ST,SEATTLE,WA,98101,47.6177,-122.3306,DOWNTOWN,7,2000,11,1,380312,184691,195621,387402,204582,182820,93,37.20000076,37.20000076,7612620,7612620,104.1999969,104.1999969,Mixed Use Property,Parking,182820,Office,Fitness Center/Health Club/Gym,2231131,,0,Compliant,No Issue,7612619,0,44.2,0.24,False,165558,39024
372,2023,METROPOLITAN PARK EAST,NonResidential,660002410,1730 MINOR AVE,SEATTLE,WA,98101,47.61695,-122.32965,DOWNTOWN,7,1988,20,1,497513,378769,118744,521570,421287,100283,86,32.40000153,32.40000153,13655772,13655772,89.69999695,89.69999695,Office,Office,415883,Parking,Restaurant,3928208,,2527,Compliant,No Issue,13403046,252730,91.1,0.24,False,100283,3240
373,2023,FOURTH & BLANCHARD BUILDING,NonResidential,694000205,2101 4TH AVE,SEATTLE,WA,98121,47.61431,-122.34244,DOWNTOWN,7,1979,24,1,543876,427155,116721,527122,434020,93102,80,35.79999924,36.90000153,16001793,15542461,100.3000031,103.1999969,Office,Office,434020,Parking,NA,4689857,,,Compliant,No Issue,16001792,,92.8,0.22,False,93102,
374,2023,3005 1ST AVE BUILDING,NonResidential,695000135,3005 1ST AVE,SEATTLE,WA,98121,47.6177,-122.3545,DOWNTOWN,7,1980,4,1,109347,69810,39537,119248,79463,39785,,178.6999969,178.6999969,14200735,14200735,409.7999878,409.7999878,Mixed Use Property,Office,54035,Parking,Laboratory,2956401,,41135,Compliant,No Issue,10087240,4113490,276.5,3.96,False,39785,25428
375,2023,THIRD AND BROAD BLDG,NonResidential,695000335,2901 3RD AVE,SEATTLE,WA,98121,47.6182,-122.352,DOWNTOWN,7,1982,6,1,396626,272410,124216,401114,275236,125878,91,32.29999924,32.29999924,8879204,8879204,90.30000305,90.30000305,Office,Office,275236,Parking,NA,2602346,,,Compliant,No Issue,8879205,,51.5,0.19,False,125878,
376,2023,5TH & BELL BUILDING,NonResidential,696000175,2301 5TH AVE,SEATTLE,WA,98121,47.61598,-122.34369,DOWNTOWN,7,2002,6,1,287471,203880,83591,283607,201664,81943,69,61.59999847,61.70000076,12437354,12422266,172.5,172.6999969,Office,Office,198453,Parking,"Personal Services (Health/Beauty, Dry Cleaning, etc)",3645115,,2,Compliant,No Issue,12437132,220,72.1,0.35,False,81943,3211
377,2023,SIXTH & WALL BUILDING (521 WALL ST),NonResidential,697000064,521 WALL ST,SEATTLE,WA,98121,47.61734,-122.34434,DOWNTOWN,7,1947,3,1,192630,144118,48512,184542,136343,48199,,40.79999924,42,5730050,5566484,108.8000031,111.9000015,College/University,College/University,92908,Parking,Office,1547787,,4490,Compliant,No Issue,5281049,449000,54.4,0.38,False,48199,41839
379,2023,3101 WESTERN (FORMERLY AIRBORNE BLDG),NonResidential,698000040,3101 WESTERN AVE,SEATTLE,WA,98121,47.6176,-122.35686,DOWNTOWN,7,1984,8,1,253103,191117,61986,254747,197466,57281,1,198.1999969,198.1999969,39133656,39133656,554.9000244,554.9000244,Office,Office,179669,Parking,Data Center,11469420,,,Compliant,No Issue,39133661,,227,1.19,False,57281,17797
381,2023,QFC HOLMAN ROAD,NonResidential,767000060,9999 HOLMAN RD NW,SEATTLE,WA,98177,47.7019,-122.36374,NORTHWEST,5,1956,1,1,60880,60880,0,61666,61666,0,45,381.6000061,381.6000061,23534820,23532396,583.9000244,584,Supermarket/Grocery Store,Supermarket/Grocery Store,61666,NA,NA,1893056,,170757,Compliant,No Issue,6459107,17075709,942.5,15.48,False,,
382,2023,COLLINS BUILDING,NonResidential,939000025,520 2ND AVE,SEATTLE,WA,98104,47.60227,-122.33202,DOWNTOWN,1,1900,5,1,50176,50176,0,50100,50100,0,,54.90000153,55.70000076,2791078,2752857,147,149.1000061,Office,Office,37518,Other,Restaurant,760570,,1960,Compliant,No Issue,2595064,196010,25.4,0.51,False,8329,4253
383,2023,SMITH TOWER,NonResidential,939000060,506 2ND AVE,SEATTLE,WA,98104,47.60198,-122.33174,DOWNTOWN,1,1912,42,1,304346,304346,0,297365,297365,0,77,53.5,54.20000076,16104571,15915988,104.8000031,105.5,Office,Office,286423,Food Service,Other - Restaurant/Bar,2399125,854771,70640,Compliant,No Issue,8185814,7063990,491.1,1.61,False,10942,0
384,2023,Bridge Point Seattle 130,NonResidential,1800113,6901 FOX AVE S,SEATTLE,WA,98108,47.54066,-122.33023,GREATER DUWAMISH,1,1977,1,1,128800,128800,0,129200,129200,0,63,15.39999962,16.29999924,2108965,1991707,22.10000038,23.10000038,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,129200,NA,NA,128123,,16718,Compliant,No Issue,437154,1671810,91.1,0.71,False,,
385,2023,SKINNER BLDG,NonResidential,2400002,1326 5TH AVE,SEATTLE,WA,98101,47.60932,-122.33388,DOWNTOWN,7,1927,8,1,226061,226061,0,226061,226061,0,70,52.5,52.70000076,11905876,11863197,116.9000015,117.0999985,Office,Office,166919,Performing Arts,Retail Store,2230987,4293749,,Compliant,No Issue,7612128,,391.9,1.73,False,39355,19787
386,2023,IBM BUILDING,NonResidential,2400002,1200 5TH AVE,SEATTLE,WA,98101,47.60842,-122.33305,DOWNTOWN,7,1964,22,1,336330,269900,66430,325634,262564,63070,60,60.20000076,60.5,15877994,15797815,143.6000061,144,Office,Office,254649,Parking,Other - Restaurant/Bar,3433886,4161575,,Compliant,No Issue,11716419,,405,1.5,False,63070,7915
387,2023,PUGET SOUND PLAZA,NonResidential,2400002,1325 4TH AVE,SEATTLE,WA,98101,47.60869,-122.33588,DOWNTOWN,7,1960,21,1,552176,298426,253750,557928,304178,253750,62,75.19999695,75.59999847,23008422,22859914,145.3000031,145.8999939,Office,Office,292290,Parking,Other - Education,3062455,12559327,,Compliant,No Issue,10449096,,1077.9,3.61,False,197750,11888
388,2023,RAINIER TOWER,NonResidential,7137830040,1301 5TH AVE,SEATTLE,WA,98101,47.60887,-122.33429,DOWNTOWN,7,1976,42,1,476871,476871,0,651665,651665,0,70,53.59999847,53.59999847,34942296,34942296,150.1000061,150.1000061,Office,Office,651665,NA,NA,10241000,,,Compliant,No Issue,34942292,,202.7,0.42,False,,
389,2023,FAIRMONT OLYMPIC HOTEL,NonResidential,7137830000,411 UNIVERSITY ST,SEATTLE,WA,98101,47.60804,-122.33391,DOWNTOWN,7,1923,12,1,544174,544174,0,544174,544174,0,,85.09999847,85.19999695,46380276,46318732,160.1999969,160.6000061,Hotel,Hotel,421095,Social/Meeting Hall,Restaurant,5891960,22983222,32937,Compliant,No Issue,20103368,3293690,2152.8,3.96,False,35804,25941
390,2023,LOWES & AMAZON W,NonResidential,3600052,2700 RAINIER AVE S,SEATTLE,WA,98144,47.57936,-122.29744,SOUTHEAST,2,1980,2,1,291940,291940,0,555340,291940,263400,97,29.89999962,30.5,8909516,8718811,73.69999695,74.59999847,Mixed Use Property,Retail Store,191940,Parking,Manufacturing/Industrial Plant,2081354,,18079,Compliant,No Issue,7101580,1807940,137,0.47,False,97500,50000
391,2023,THAW BUILDING,NonResidential,7400015,8300 MILITARY RD S,SEATTLE,WA,98108,47.52871,-122.29443,GREATER DUWAMISH,1,1970,1,1,91360,91360,0,89124,89124,0,43,61.20000076,61.59999847,5491867,5456068,111.0999985,111.5999985,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,48016,Office,Manufacturing/Industrial Plant,699816,,31041,Compliant,No Issue,2387773,3104090,178.4,1.95,False,24488,16620
392,2023,"LINDEN BUILDING (Formerly EUROPEAN SOAPS, LTD)",NonResidential,164000120,920 N 137TH ST,SEATTLE,WA,98133,47.72912,-122.34677,NORTHWEST,5,1960,1,1,52311,52311,0,52311,52311,0,,6.599999905,6.199999809,323587,345806,6.900000095,6.5,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,52311,NA,NA,0,,3236,Not Compliant,"Missing EUI, Incomplete Electricity Data",0,323590,17.2,0.33,False,,
393,2023,500 YALE AVENUE NORTH,NonResidential,209000030,500 YALE AVE N,SEATTLE,WA,98109,47.62323,-122.33028,LAKE UNION,7,2009,5,1,141131,71421,69710,141131,71421,69710,,27.29999924,27.5,1961617,1951774,76.5,76.90000153,Office,Office,71421,Parking,NA,574917,,,Compliant,No Issue,1961617,,11.4,0.16,False,69710,
394,2023,REPUBLICAN BUILDING,NonResidential,209000050,501 EASTLAKE AVE E,SEATTLE,WA,98109,47.62333,-122.3296,LAKE UNION,7,2001,5,1,176532,106465,70067,176532,106465,70067,49,90.19999695,90.09999847,9595537,9599035,244.1000061,244,Office,Office,106465,Parking,NA,2663082,,5091,Compliant,No Issue,9086436,509100,79.7,0.75,False,70067,
395,2023,FERGUSON TERMINAL,NonResidential,467000050,4205 9TH AVE NW,SEATTLE,WA,98107,47.65825,-122.3683,BALLARD,6,1973,1,1,52500,52500,0,54612,52500,2112,60,35.79999924,36.20000076,1902625,1881973,50.59999847,51,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,52500,Parking,NA,113862,,15141,Compliant,No Issue,388497,1514130,82.5,1.57,False,0,
398,2023,2601 ELLIOTT AVE,NonResidential,653000250,2601 ELLIOTT AVE,SEATTLE,WA,98121,47.61429,-122.35263,DOWNTOWN,7,1916,6,1,350310,350310,0,339799,339799,0,,21.70000076,21.70000076,7366814,7366814,60.70000076,60.70000076,Office,Office,339799,NA,NA,2159090,,0,Compliant,No Issue,7366815,0,42.7,0.12,False,,
399,2023,WASH MUTUAL TOWER (1201 THIRD AVE),NonResidential,1974700120,1201 3RD AVE,SEATTLE,WA,98101,47.60723,-122.33611,DOWNTOWN,7,1988,55,1,1413575,1128575,285000,1393056,1128575,264481,87,39.70000076,40,45152348,44857076,107.4000015,107.9000015,Office,Office,1128575,Parking,Restaurant,12387310,2765304,1216,Compliant,No Issue,42265502,121550,475.6,0.42,False,264481,0
400,2023,2+U,NonResidential,1974700175,1201 2ND AVE,SEATTLE,WA,98101,47.60669,-122.337,DOWNTOWN,7,2019,38,1,899127,734127,165000,945810,777569,168241,85,41.90000153,42.09999847,32717340,32588438,96.19999695,96.30000305,Office,Office,777569,Parking,NA,6792739,,95405,Compliant,No Issue,23176825,9540520,640.1,0.87,False,168241,
401,2023,WASHINGTON ATHLETIC CLUB,NonResidential,1975700025,1325 6TH AVE,SEATTLE,WA,98101,47.60968,-122.33379,DOWNTOWN,7,1930,21,1,305548,305548,0,304016,304016,0,,140,140.6000061,42753528,42565324,226,226.8000031,Mixed Use Property,Fitness Center/Health Club/Gym,114496,Hotel,Restaurant,3278769,29315700,22507,Compliant,No Issue,11187160,2250670,2558.7,8.37,False,94688,85358
402,2023,US BANK CENTER,NonResidential,1975700080,1420 5TH AVE,SEATTLE,WA,98101,47.61054,-122.33466,DOWNTOWN,7,1989,46,1,1536606,1023998,512608,1468197,1091151,377046,73,42.59999847,43.20000076,47143548,46463240,119.1999969,121,Office,Office,1091151,Parking,NA,13816980,,0,Compliant,No Issue,47143536,0,273.4,0.27,False,377046,
403,2023,LOGAN BUILDING,NonResidential,1975700095,500 UNION ST,SEATTLE,WA,98101,47.61003,-122.33452,DOWNTOWN,7,1958,10,1,135918,135918,0,135592,135592,0,85,44.29999924,44.59999847,6042734,6002046,89.19999695,89.69999695,Office,Office,123643,Other - Restaurant/Bar,Financial Office,898319,2977670,,Compliant,No Issue,3065065,,259,1.91,False,6905,5044
404,2023,O'SHEA BUILDING/GAP,NonResidential,1975700115,1524 5TH AVE,SEATTLE,WA,98101,47.61159,-122.33601,DOWNTOWN,7,1914,4,1,79957,79957,0,79957,79957,0,89,29.29999924,29.29999924,2346304,2346304,82.19999695,82.19999695,Office,Office,62287,Retail Store,NA,687662,,,Compliant,No Issue,2346304,,13.6,0.17,False,17670,
405,2023,DECATUR BUILDING,NonResidential,1975700125,1511 6TH AVE,SEATTLE,WA,98101,47.61166,-122.33528,DOWNTOWN,7,1921,4,1,127268,127268,0,127268,127268,0,70,51.09999847,51.09999847,6499776,6499776,131.3999939,131.3999939,Office,Office,71284,Retail Store,Other - Restaurant/Bar,1652729,234062,6266,Compliant,No Issue,5639111,626600,84.9,0.67,False,44122,11862
406,2023,520 PIKE BUILDING,NonResidential,1975700160,520 PIKE ST,SEATTLE,WA,98101,47.61125,-122.33494,DOWNTOWN,7,1983,29,1,500000,500000,0,511479,434794,76685,85,36.79999924,37.40000153,15998330,15754199,103,104.5999985,Office,Office,413596,Parking,Retail Store,4688842,,,Compliant,No Issue,15998329,,92.8,0.19,False,76685,14528
409,2023,WASHINGTON FEDERAL SAVINGS BUILDING,NonResidential,1975700240,425 PIKE ST,SEATTLE,WA,98101,47.61033,-122.3357,DOWNTOWN,7,1984,6,1,109830,96630,13200,103094,90435,12659,58,47.90000153,47.90000153,4332786,4332786,134.1000061,134.1000061,Office,Office,82311,Parking,Retail Store,1269867,,,Compliant,No Issue,4332786,,25.1,0.26,False,12659,5158
410,2023,MOTIF SEATTLE,NonResidential,1975700255,1414 4TH AVE,SEATTLE,WA,98101,47.60996,-122.33572,DOWNTOWN,7,1973,19,1,332067,272787,59280,332067,272787,59280,38,95.5,95.80000305,26143764,26039006,195.3000031,195.8000031,Hotel,Hotel,272787,Parking,NA,4035020,12234186,1421,Compliant,No Issue,13767488,142090,1078.4,3.95,False,59280,
411,2023,JOSHUA GREEN BUILDING,NonResidential,1975700305,1425 4TH AVE,SEATTLE,WA,98101,47.60991,-122.33687,DOWNTOWN,7,1910,10,1,109266,109266,0,109266,109266,0,72,51.70000076,52.5,5733694,5646514,126.5999985,128,Office,Office,98408,Restaurant,NA,1306896,1082560,1920,Compliant,No Issue,4459129,192010,123.7,1.13,False,10858,
412,2023,MIKEN BLDG.,NonResidential,1975700330,1417 4TH AVE,SEATTLE,WA,98101,47.60953,-122.33647,DOWNTOWN,7,1920,8,1,60660,60660,0,52380,52380,0,99,13.19999981,13.19999981,689672,690772,36.90000153,36.90000153,Office,Office,52380,NA,NA,202131,,,Compliant,No Issue,689672,,4,0.07,False,,
413,2023,VANCE BUILDING,NonResidential,1975700340,1402 3RD AVE,SEATTLE,WA,98101,47.60902,-122.33674,DOWNTOWN,7,1929,14,1,137500,137500,0,138176,138176,0,97,30.60000038,31,4280533,4234558,53.79999924,54.20000076,Office,Office,138176,NA,NA,429208,2816076,,Compliant,No Issue,1464457,,236.6,1.72,False,,
414,2023,1411 BUILDING,NonResidential,1975700345,1411 4TH AVE,SEATTLE,WA,98101,47.60923,-122.33625,DOWNTOWN,7,1929,15,1,151039,151039,0,134294,134294,0,73,45.70000076,46.09999847,6197502,6133195,127.9000015,129.1999969,Office,Office,134294,NA,NA,1816384,,,Compliant,No Issue,6197502,,35.9,0.24,False,,
415,2023,CENTURY SQUARE,NonResidential,1975700390,1501 4TH AVE,SEATTLE,WA,98101,47.61022,-122.33745,DOWNTOWN,7,1985,30,1,755000,620338,134662,796938,670047,126891,68,60.20000076,60.70000076,40684572,40334632,148.1999969,149.6000061,Office,Office,643083,Parking,Other,9621132,593367,72639,Compliant,No Issue,32827302,7263900,623.4,1.01,False,126891,12589
417,2023,MELBOURNE TOWER OFF,NonResidential,1975700465,1511 3RD AVE,SEATTLE,WA,98101,47.60987,-122.33824,DOWNTOWN,7,1927,10,1,130893,130893,0,128390,128390,0,89,46.40000153,46.40000153,5956900,5960732,130,129.8999939,Office,Office,101013,Supermarket/Grocery Store,NA,1745868,,,Compliant,No Issue,5956902,,34.6,0.26,False,27377,
418,2023,POLL BUILDING,NonResidential,1975700580,110 UNION ST,SEATTLE,WA,98101,47.60821,-122.33899,DOWNTOWN,7,1910,5,1,79920,79920,0,93240,79920,13320,,54,54,4316656,4316656,100.4000015,100.4000015,Office,Office,71015,Parking,Retail Store,584863,,23211,Compliant,No Issue,1995552,2321100,134.6,1.68,False,13320,4645
